time,count
247204814.904,845.0
247204815.104,705.0
247204815.304,725.0
247204815.504,765.0
247204815.704,660.0
247204815.904,730.0
247204816.104,635.0
247204816.304,730.0
247204816.504,690.0
247204816.704,860.0
247204816.904,720.0
247204817.104,750.0
247204817.304,855.0
247204817.504,695.0
247204817.704,730.0
247204817.904,805.0
247204818.104,745.0
247204818.304,760.0
247204818.504,595.0
247204818.704,675.0
247204818.904,745.0
247204819.104,770.0
247204819.304,790.0
247204819.504,695.0
247204819.704,720.0
247204819.904,780.0
247204820.104,720.0
247204820.304,740.0
247204820.504,750.0
247204820.704,795.0
247204820.904,790.0
247204821.104,750.0
247204821.304,710.0
247204821.504,730.0
247204821.704,740.0
247204821.904,770.0
247204822.104,765.0
247204822.304,650.0
247204822.504,685.0
247204822.704,625.0
247204822.904,710.0
247204823.104,770.0
247204823.304,825.0
247204823.504,665.0
247204823.704,760.0
247204823.904,760.0
247204824.104,715.0
247204824.304,735.0
247204824.504,825.0
247204824.704,895.0
247204824.904,775.0
247204825.104,720.0
247204825.304,725.0
247204825.504,780.0
247204825.704,745.0
247204825.904,670.0
247204826.104,650.0
247204826.304,910.0
247204826.504,680.0
247204826.704,815.0
247204826.904,810.0
247204827.104,725.0
247204827.304,675.0
247204827.504,800.0
247204827.704,760.0
247204827.904,735.0
247204828.104,810.0
247204828.304,850.0
247204828.504,820.0
247204828.704,720.0
247204828.904,785.0
247204829.104,765.0
247204829.304,790.0
247204829.504,830.0
247204829.704,695.0
247204829.904,770.0
247204830.104,765.0
247204830.304,625.0
247204830.504,765.0
247204830.704,710.0
247204830.904,765.0
247204831.104,770.0
247204831.304,800.0
247204831.504,695.0
247204831.704,720.0
247204831.904,760.0
247204832.104,905.0
247204832.304,705.0
247204832.504,685.0
247204832.704,805.0
247204832.904,790.0
247204833.104,790.0
247204833.304,795.0
247204833.504,830.0
247204833.704,695.0
247204833.904,755.0
247204834.104,705.0
247204834.304,775.0
247204834.504,735.0
247204834.704,790.0
247204834.904,730.0
247204835.104,865.0
247204835.304,835.0
247204835.504,825.0
247204835.704,855.0
247204835.904,915.0
247204836.104,745.0
247204836.304,840.0
247204836.504,815.0
247204836.704,830.0
247204836.904,855.0
247204837.104,875.0
247204837.304,825.0
247204837.504,840.0
247204837.704,835.0
